"日期","收市","開市","高","低","成交量","更改%"
"2017年9月24日","4,360.6","3,788.0","4,383.3","3,633.9","588.23K","15.12%"
"2017年9月17日","3,788.0","3,698.9","4,122.8","3,485.8","781.52K","2.41%"
"2017年9月10日","3,698.9","4,335.1","4,387.8","2,979.9","1.43M","-14.68%"
"2017年9月3日","4,335.1","4,573.8","4,719.8","4,004.6","870.55K","-5.22%"
"2017年8月27日","4,573.8","4,352.3","4,976.5","4,195.2","622.35K","5.09%"
"2017年8月20日","4,352.3","4,150.5","4,461.7","3,612.2","628.02K","4.86%"
"2017年8月13日","4,150.5","3,871.6","4,487.5","3,837.1","997.13K","7.20%"
"2017年8月6日","3,871.6","3,262.8","3,967.3","3,166.5","644.93K","18.66%"
"2017年7月30日","3,262.8","2,733.5","3,344.0","2,621.7","675.09K","19.36%"
"2017年7月23日","2,733.5","2,836.5","2,856.7","2,441.5","859.86K","-3.63%"
"2017年7月16日","2,836.5","1,975.1","2,932.8","1,809.0","1.35M","43.62%"
"2017年7月9日","1,975.1","2,564.9","2,576.7","1,974.0","777.01K","-22.99%"
"2017年7月2日","2,564.9","2,424.6","2,658.7","2,375.9","526.68K","5.78%"
"2017年6月25日","2,424.6","2,590.1","2,660.7","2,309.6","737.13K","-6.39%"
"2017年6月18日","2,590.1","2,655.1","2,804.4","2,488.6","623.37K","-2.45%"
"2017年6月11日","2,655.1","2,900.3","2,985.1","2,125.6","1.07M","-8.45%"
"2017年6月4日","2,900.3","2,545.4","2,931.2","2,478.2","710.05K","13.94%"
"2017年5月28日","2,545.4","2,052.4","2,582.8","2,051.1","732.63K","24.02%"
"2017年5月21日","2,052.4","2,040.2","2,781.8","1,868.6","1.18M","0.60%"
"2017年5月14日","2,040.2","1,763.7","2,048.4","1,653.7","552.75K","15.67%"
"2017年5月7日","1,763.7","1,545.3","1,864.8","1,495.2","689.31K","14.14%"
"2017年4月30日","1,545.3","1,336.3","1,609.8","1,309.7","609.50K","15.64%"
"2017年4月23日","1,336.3","1,240.9","1,356.2","1,223.1","364.25K","7.69%"
"2017年4月16日","1,240.9","1,177.0","1,257.0","1,166.7","301.86K","5.43%"
"2017年4月9日","1,177.0","1,180.8","1,229.6","841.5","309.20K","-0.32%"
"2017年4月2日","1,180.8","1,086.1","1,201.6","1,074.2","495.23K","8.72%"
"2017年3月26日","1,086.1","966.3","1,103.7","946.7","542.07K","12.40%"
"2017年3月19日","966.3","971.4","1,125.5","890.4","691.92K","-0.52%"
"2017年3月12日","971.4","1,179.2","1,260.2","940.2","700.54K","-17.63%"
"2017年3月5日","1,179.2","1,264.3","1,330.4","988.7","563.14K","-6.73%"
"2017年2月26日","1,264.3","1,149.1","1,291.3","1,130.6","352.15K","10.03%"
"2017年2月19日","1,149.1","1,052.3","1,211.7","1,037.7","373.70K","9.20%"
"2017年2月12日","1,052.3","1,008.3","1,063.2","975.1","219.71K","4.36%"
"2017年2月5日","1,008.3","1,031.8","1,073.0","924.7","404.97K","-2.28%"
"2017年1月29日","1,031.8","918.5","1,041.0","911.5","282.01K","12.34%"
"2017年1月22日","918.5","919.8","938.4","883.6","256.52K","-0.14%"
"2017年1月15日","919.8","819.6","928.9","808.6","346.77K","12.23%"
"2017年1月8日","819.6","888.9","936.1","739.5","641.94K","-7.79%"
"2017年1月1日","888.9","963.4","1,150.6","806.7","1.65M","-7.73%"
"2016年12月25日","963.4","891.1","982.6","851.4","367.77K","8.11%"
"2016年12月18日","891.1","787.2","920.5","783.8","358.58K","13.20%"
"2016年12月11日","787.2","774.0","791.6","763.0","181.20K","1.70%"
"2016年12月4日","774.0","764.2","777.0","746.0","209.60K","1.28%"
"2016年11月27日","764.2","734.1","779.0","727.1","283.01K","4.10%"
"2016年11月20日","734.1","747.9","754.0","712.8","250.91K","-1.84%"
